customer_id,name,gender,age,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,categorized_job_title
43,Indira Belt,Female,34.0,Retail,Mass Customer,N,No,5.0,Management & Leadership Roles
44,Neron Verick,Male,36.0,Entertainment,Affluent Customer,N,Yes,17.0,Administrative Roles
45,Trace Woodhead,Male,42.0,Financial Services,Mass Customer,N,No,8.0,Finance & Accounting
46,Kaila Allin,Female,45.0,Unknown,Affluent Customer,N,Yes,15.0,unknown
47,Matthew Jeaycock,Male,25.0,Health,Affluent Customer,N,No,2.0,Healthcare & Therapy
48,Rebbecca Casone,Female,42.0,Unknown,Mass Customer,N,Yes,8.0,Science & Research
49,Nolly Ownsworth,Male,23.0,Unknown,Affluent Customer,N,No,1.0,Management & Leadership Roles
50,Whitby Schapero,Male,37.0,Manufacturing,Mass Customer,N,Yes,16.0,Marketing & Media
51,Fidelio Dilke,Male,58.0,Retail,Mass Customer,N,No,18.0,IT & Software Roles
52,Curran Bentson,Male,29.0,Financial Services,Mass Customer,N,Yes,13.0,unknown
53,Agnella Gocke,Female,63.0,Financial Services,Mass Customer,N,No,16.0,Engineering & Technical Roles
54,Loralyn Wonfor,Female,51.0,Property,Mass Customer,N,Yes,18.0,Marketing & Media
55,Linc Jillions,Male,61.0,Financial Services,Affluent Customer,N,Yes,7.0,Administrative Roles
56,Reese Ensor,Male,21.0,Property,Mass Customer,N,Yes,4.0,Management & Leadership Roles
57,Abba Masedon,Male,29.0,Unknown,Mass Customer,N,Yes,13.0,Engineering & Technical Roles
58,Dalenna Pinnock,Female,50.0,Financial Services,Affluent Customer,N,Yes,17.0,Administrative Roles
59,Niki Heathcote,Male,17.0,Unknown,High Net Worth,N,No,3.0,Administrative Roles
60,Nadiya Champerlen,Female,47.0,Manufacturing,Mass Customer,N,No,10.0,unknown
61,Kacey Rowbottom,Female,58.0,Property,High Net Worth,N,No,13.0,Administrative Roles
62,Sorcha Roggers,Female,38.0,IT,Mass Customer,N,Yes,22.0,unknown
63,Ebony Zini,Female,52.0,Retail,Mass Customer,N,Yes,16.0,Engineering & Technical Roles
64,Gerek Yve,Male,39.0,IT,High Net Worth,N,No,4.0,Administrative Roles
65,Yale Tanser,Male,41.0,Financial Services,Affluent Customer,N,Yes,15.0,Administrative Roles
66,Anselm Gawne,Male,15.0,Argiculture,High Net Worth,N,No,1.0,Marketing & Media
67,Vernon  ,Male,57.0,Retail,Mass Customer,N,No,18.0,IT & Software Roles
68,Dahlia Eddoes,Female,43.0,Unknown,Affluent Customer,N,No,9.0,Administrative Roles
69,Heidi Milner,Female,48.0,Unknown,Mass Customer,N,No,6.0,IT & Software Roles
70,Foster Vannoort,Male,24.0,Financial Services,Affluent Customer,N,No,8.0,Administrative Roles
71,Hoyt Glavias,Male,32.0,Argiculture,Affluent Customer,N,Yes,12.0,Science & Research
72,Sammy Cheese,Male,45.0,Manufacturing,Affluent Customer,N,Yes,16.0,Administrative Roles
73,Minette Worters,Female,57.0,Unknown,Affluent Customer,N,Yes,5.0,Education & Teaching
74,Pansy Kiddie,Female,48.0,Unknown,Mass Customer,N,Yes,6.0,unknown
75,Dollie Sealy,Female,39.0,Property,Mass Customer,N,No,19.0,Management & Leadership Roles
76,Rea Hasser,Female,39.0,Retail,High Net Worth,N,Yes,18.0,Science & Research
77,Shermie Andrin,Male,28.0,Financial Services,Mass Customer,N,No,7.0,Engineering & Technical Roles
78,Arch Van der Kruis,Male,32.0,Argiculture,Affluent Customer,N,No,8.0,Management & Leadership Roles
79,Tybi Silliman,Female,49.0,Manufacturing,Mass Customer,N,No,18.0,Marketing & Media
80,Pablo Small,Male,39.0,Entertainment,Mass Customer,N,No,13.0,IT & Software Roles
81,Bee Blazewicz,Female,31.0,Health,High Net Worth,N,No,13.0,unknown
82,Gleda Cokely,Female,52.0,Property,High Net Worth,N,No,19.0,Engineering & Technical Roles
83,Kerr Simmell,Male,50.0,IT,Mass Customer,N,Yes,18.0,Finance & Accounting
84,Rich Mathiasen,Male,59.0,Unknown,Mass Customer,N,Yes,14.0,Finance & Accounting
85,Kane Tixall,Male,59.0,Unknown,Mass Customer,N,No,8.0,IT & Software Roles
86,Job Sleney,Male,28.0,Health,High Net Worth,N,Yes,7.0,Healthcare & Therapy
87,Fields Langdon,Male,43.0,Financial Services,Mass Customer,N,No,8.0,Marketing & Media
88,Malynda Tumber,Female,51.0,Property,High Net Worth,N,Yes,7.0,Administrative Roles
89,Benedicto Hoxey,Male,50.0,Health,Mass Customer,N,Yes,14.0,Healthcare & Therapy
90,Cary Garron,Male,33.0,Manufacturing,Mass Customer,N,No,11.0,Healthcare & Therapy
91,Dylan Meaker,Male,62.0,Financial Services,Affluent Customer,N,Yes,17.0,Finance & Accounting
92,Jodee Judkins,Female,37.0,Health,Mass Customer,N,No,12.0,Administrative Roles
93,Gordon Gowar,Male,41.0,Retail,Mass Customer,N,Yes,10.0,Administrative Roles
94,Wallache Simchenko,Male,43.0,Manufacturing,Mass Customer,N,No,21.0,Engineering & Technical Roles
95,Nomi Mallinder,Female,57.0,Manufacturing,Affluent Customer,N,Yes,8.0,Engineering & Technical Roles
96,Heath Olford,Male,49.0,Manufacturing,Mass Customer,N,No,15.0,Engineering & Technical Roles
97,Arne Corain,Male,38.0,Financial Services,Mass Customer,N,Yes,10.0,Marketing & Media
98,Allianora Babalola,Female,61.0,Health,Mass Customer,N,No,7.0,Healthcare & Therapy
99,Reggie Mulliner,Male,19.0,Financial Services,Mass Customer,N,No,3.0,Management & Leadership Roles
100,Tripp Steed,Male,49.0,Financial Services,Mass Customer,N,Yes,4.0,Administrative Roles
101,Goran Kwietek,Male,42.0,Manufacturing,High Net Worth,N,No,11.0,Healthcare & Therapy
102,Langsdon Tranfield,Male,61.0,Manufacturing,Affluent Customer,N,No,16.0,Healthcare & Therapy
103,Ethyl Runham,Female,20.0,Financial Services,Affluent Customer,N,Yes,4.0,Engineering & Technical Roles
104,Odille Panketh,Female,39.0,Health,Mass Customer,N,Yes,9.0,Engineering & Technical Roles
105,Maribeth Pristnor,Female,16.0,Manufacturing,Mass Customer,N,No,1.0,Administrative Roles
106,Glyn  ,Male,51.0,Health,High Net Worth,N,Yes,18.0,Engineering & Technical Roles
107,Pris Stallebrass,Female,27.0,Financial Services,Mass Customer,N,Yes,9.0,Healthcare & Therapy
108,Kayle Mingaud,Female,23.0,Unknown,High Net Worth,N,No,3.0,unknown
109,Cody Blabey,Male,39.0,Unknown,Affluent Customer,N,Yes,4.0,Administrative Roles
110,Sascha St. Quintin,Male,17.0,Financial Services,Affluent Customer,N,No,1.0,unknown
111,Cele Evason,Female,24.0,Unknown,Mass Customer,N,No,2.0,IT & Software Roles
112,Shena Parren,Female,42.0,Retail,High Net Worth,N,No,12.0,Administrative Roles
113,Gage Nickless,Male,61.0,Unknown,Mass Customer,N,No,20.0,Science & Research
114,Sunny Swindells,Female,32.0,Entertainment,Affluent Customer,N,No,8.0,Education & Teaching
115,Alberik Mereweather,Male,36.0,Health,Mass Customer,N,No,18.0,Marketing & Media
116,Scottie Swiffen,Male,18.0,Manufacturing,Affluent Customer,N,Yes,2.0,Administrative Roles
117,Nance Suttling,Female,35.0,Manufacturing,Mass Customer,N,No,15.0,Administrative Roles
118,Prentice Pearmain,Male,58.0,Unknown,High Net Worth,N,No,19.0,Finance & Accounting
119,Willey Chastanet,Male,36.0,Unknown,High Net Worth,N,Yes,9.0,Education & Teaching
120,Sloan Wagg,Male,39.0,Financial Services,High Net Worth,N,Yes,4.0,Administrative Roles
121,Myles Pauncefort,Male,60.0,Manufacturing,Mass Customer,N,No,15.0,Marketing & Media
122,Colver Itter,Male,38.0,Financial Services,Mass Customer,N,Yes,12.0,Healthcare & Therapy
123,Almeta Kalinsky,Female,29.0,Financial Services,High Net Worth,N,No,15.0,IT & Software Roles
124,Kath Cunney,Female,22.0,Health,High Net Worth,N,Yes,5.0,Administrative Roles
125,Darrelle Antoniewski,Female,57.0,Property,Mass Customer,N,No,16.0,IT & Software Roles
126,Norman Cliff,Male,25.0,Health,Mass Customer,N,Yes,3.0,Administrative Roles
127,Merrili Whitear,Female,43.0,Financial Services,Mass Customer,N,No,19.0,Finance & Accounting
128,Isidro Cypler,Male,40.0,Property,Mass Customer,N,Yes,12.0,IT & Software Roles
129,Weidar Silkstone,Male,32.0,Financial Services,High Net Worth,N,Yes,19.0,Finance & Accounting
130,Raddy Delete,Male,20.0,Manufacturing,Mass Customer,N,No,1.0,Engineering & Technical Roles
131,Jana Renyard,Female,53.0,Retail,High Net Worth,N,No,8.0,Administrative Roles
132,Celesta Willavoys,Female,54.0,Manufacturing,Mass Customer,N,Yes,9.0,IT & Software Roles
133,Eldridge Fiddeman,Male,40.0,Financial Services,Mass Customer,N,Yes,16.0,Management & Leadership Roles
134,Merna McCulloch,Female,20.0,Telecommunications,Affluent Customer,N,Yes,5.0,Administrative Roles
135,Rosalia Sigart,Female,42.0,IT,Mass Customer,N,No,3.0,Finance & Accounting
136,Mel Bennet,Male,44.0,Manufacturing,High Net Worth,N,Yes,7.0,Management & Leadership Roles
137,Vaughn Artin,Male,30.0,Property,High Net Worth,N,No,10.0,Administrative Roles
138,Onofredo Franc,Male,32.0,Financial Services,Affluent Customer,N,Yes,13.0,Administrative Roles
139,Gar  ,Male,53.0,Telecommunications,Affluent Customer,N,No,4.0,Administrative Roles
140,Morrie Flaxon,Male,23.0,Manufacturing,Mass Customer,N,No,2.0,IT & Software Roles
141,Townsend Trobe,Male,63.0,Financial Services,High Net Worth,N,Yes,10.0,Education & Teaching
142,Bentley Fortesquieu,Male,50.0,Health,Affluent Customer,N,No,17.0,Engineering & Technical Roles
143,Kendall Figg,Male,60.0,Argiculture,Mass Customer,N,Yes,11.0,Administrative Roles
144,Jory Barrabeale,Unknown,40.040122668029646,IT,Mass Customer,N,No,10.65704063378482,Science & Research
145,Filippo Ferrara,Male,20.0,Financial Services,Mass Customer,N,No,4.0,Marketing & Media
146,Ricoriki Matlock,Male,32.0,Manufacturing,Mass Customer,N,No,8.0,Healthcare & Therapy
147,Rea Pattrick,Female,44.0,Health,Mass Customer,N,Yes,10.0,Administrative Roles
148,Jaquith Maffey,Female,36.0,Unknown,Mass Customer,N,Yes,5.0,IT & Software Roles
149,Drucy Kausche,Female,22.0,Health,Mass Customer,N,Yes,1.0,Science & Research
150,Bradly Crosse,Male,34.0,Financial Services,Affluent Customer,N,No,17.0,Management & Leadership Roles
151,Donnie Brimson,Male,52.0,Manufacturing,Mass Customer,N,Yes,13.0,Administrative Roles
152,Stephana Cardew,Female,36.0,Financial Services,Mass Customer,N,No,16.0,Finance & Accounting
153,Lorilyn Walshe,Female,40.0,Entertainment,Mass Customer,N,Yes,12.0,Administrative Roles
154,Faydra Dulieu,Female,59.0,Unknown,Mass Customer,N,No,11.0,Marketing & Media
155,Orran Bogges,Male,32.0,Manufacturing,Mass Customer,N,No,10.0,Engineering & Technical Roles
156,Shayla Rimmington,Female,38.0,Financial Services,Mass Customer,N,Yes,11.0,Management & Leadership Roles
157,Chad Houtby,Male,43.0,Financial Services,Affluent Customer,N,No,16.0,Finance & Accounting
158,Hamlin Odams,Male,33.0,Unknown,Affluent Customer,N,No,5.0,Finance & Accounting
159,Arin Matskevich,Male,30.0,Health,Affluent Customer,N,No,13.0,Science & Research
160,Wake Durning,Male,53.0,Health,Mass Customer,N,No,18.0,Healthcare & Therapy
161,Tadd Bloss,Male,41.0,Unknown,Mass Customer,N,No,16.0,unknown
162,Port Acuna,Male,38.0,IT,Mass Customer,N,No,15.0,Healthcare & Therapy
163,Kessia Helder,Female,41.0,Entertainment,High Net Worth,N,Yes,14.0,Science & Research
164,Aarika Van Vuuren,Female,18.0,Retail,Affluent Customer,N,Yes,1.0,Marketing & Media
165,Aldon Roelofs,Male,33.0,Argiculture,Mass Customer,N,Yes,12.0,Administrative Roles
166,Elston Oleszczak,Male,62.0,Manufacturing,Affluent Customer,N,No,6.0,Engineering & Technical Roles
167,Nathalie Tideswell,Female,48.0,Health,High Net Worth,N,Yes,17.0,unknown
168,Reggie Broggetti,Unknown,40.040122668029646,IT,Affluent Customer,N,Yes,10.65704063378482,Administrative Roles
169,Alfy Bruhnke,Male,60.0,Telecommunications,High Net Worth,N,Yes,5.0,IT & Software Roles
170,Jammal Gever,Male,42.0,Health,High Net Worth,N,No,21.0,Healthcare & Therapy
171,Halli Davidoff,Female,47.0,Manufacturing,Mass Customer,N,No,10.0,Administrative Roles
172,Hilton Carney,Male,29.0,Manufacturing,Affluent Customer,N,Yes,6.0,Marketing & Media
173,Ebba Hanselmann,Female,21.0,Health,Affluent Customer,N,No,1.0,Administrative Roles
174,Catie Tosspell,Female,28.0,Health,Mass Customer,N,No,12.0,Science & Research
175,Templeton Hambrook,Male,42.0,Manufacturing,Affluent Customer,N,No,5.0,Engineering & Technical Roles
176,Angelo Clayal,Male,25.0,Property,Mass Customer,N,No,10.0,Finance & Accounting
177,Ondrea Pablos,Female,28.0,Financial Services,High Net Worth,N,No,4.0,Education & Teaching
178,Matthieu Bertelmot,Male,50.0,Unknown,Affluent Customer,N,No,8.0,unknown
179,Esteban Sewill,Male,51.0,Manufacturing,High Net Worth,N,Yes,6.0,Science & Research
180,Trisha Neasham,Female,46.0,Argiculture,Affluent Customer,N,No,14.0,IT & Software Roles
181,Pavla Braunle,Female,35.0,Manufacturing,Mass Customer,N,No,9.0,Marketing & Media
182,Lydon Dahlman,Male,25.0,Financial Services,Affluent Customer,N,Yes,7.0,Marketing & Media
183,Dannie Hissie,Female,20.0,Retail,Affluent Customer,N,No,3.0,Science & Research
184,Nappie Paolo,Male,46.0,Manufacturing,High Net Worth,N,Yes,7.0,Administrative Roles
185,Crosby Walcot,Male,38.0,Property,Mass Customer,N,Yes,13.0,unknown
186,Mireielle Jeppe,Female,43.0,Financial Services,Mass Customer,N,No,3.0,Engineering & Technical Roles
187,Pincas Ather,Male,63.0,Unknown,Mass Customer,N,No,11.0,Engineering & Technical Roles
188,Audry Seine,Female,42.0,Property,High Net Worth,N,Yes,13.0,Healthcare & Therapy
189,Umberto Torricella,Male,36.0,Financial Services,Affluent Customer,N,No,10.0,Healthcare & Therapy
190,Hayley Girardengo,Female,38.0,Health,Affluent Customer,N,No,10.0,Healthcare & Therapy
191,Christopher Heining,Male,57.0,Unknown,Affluent Customer,N,Yes,6.0,Administrative Roles
192,Goldi Osler,Female,39.0,Health,Mass Customer,N,Yes,8.0,Marketing & Media
193,Foss Hardes,Male,53.0,Manufacturing,Mass Customer,N,Yes,12.0,Administrative Roles
194,Ursala Ferrai,Female,43.0,Financial Services,Affluent Customer,N,No,10.0,IT & Software Roles
195,Talyah Rylatt,Female,59.0,Manufacturing,Mass Customer,N,No,6.0,Administrative Roles
196,Swen Odhams,Male,51.0,Manufacturing,High Net Worth,N,No,6.0,IT & Software Roles
197,Avis  ,Female,40.0,Unknown,High Net Worth,N,No,5.0,unknown
198,Vanya Gumb,Female,36.0,Entertainment,Mass Customer,N,No,16.0,Administrative Roles
199,Verla Alven,Female,39.0,Health,Mass Customer,N,Yes,21.0,Marketing & Media
200,Hube Weald,Male,60.0,Property,Affluent Customer,N,Yes,19.0,Administrative Roles
201,Salem Huie,Male,51.0,Manufacturing,Mass Customer,N,Yes,11.0,Engineering & Technical Roles
202,Audie Pillinger,Female,54.0,Entertainment,Affluent Customer,N,Yes,16.0,Science & Research
203,Donovan Conry,Male,54.0,Argiculture,Mass Customer,N,Yes,11.0,Engineering & Technical Roles
204,Thorny Hackworth,Male,41.0,Financial Services,Mass Customer,N,No,5.0,Marketing & Media
205,Rolfe Kellard,Male,59.0,Financial Services,Mass Customer,N,Yes,6.0,Administrative Roles
206,Mari Chevolleau,Female,63.0,Unknown,Mass Customer,N,Yes,14.0,Science & Research
207,Adena Whyman,Female,23.0,Unknown,Mass Customer,N,No,7.0,unknown
208,Rutter Excell,Male,23.0,Property,High Net Worth,N,No,5.0,Administrative Roles
209,Udall Bellard,Male,60.0,Unknown,Affluent Customer,N,Yes,6.0,Administrative Roles
210,Albrecht Thomasson,Male,54.0,Property,Mass Customer,N,No,18.0,Administrative Roles
211,Beitris  ,Female,43.0,Manufacturing,Mass Customer,N,Yes,5.0,Management & Leadership Roles
212,Nanice Ellse,Female,16.0,IT,Affluent Customer,N,No,1.0,IT & Software Roles
213,Lockwood Exroll,Male,21.0,Financial Services,High Net Worth,N,Yes,6.0,Finance & Accounting
214,Jeramie Cellier,Male,60.0,Health,Mass Customer,N,No,6.0,Science & Research
215,Debera Foxworthy,Female,43.0,Retail,High Net Worth,N,Yes,18.0,Administrative Roles
216,Cinderella Parcall,Female,22.0,Financial Services,High Net Worth,N,Yes,7.0,Engineering & Technical Roles
217,Jeralee Quartly,Female,38.0,Manufacturing,High Net Worth,N,No,16.0,unknown
218,Stefa Dunnan,Female,24.0,Property,High Net Worth,N,Yes,8.0,Administrative Roles
219,Markus Mughal,Male,53.0,Health,Mass Customer,N,No,7.0,IT & Software Roles
220,Jeniffer Apark,Female,63.0,Manufacturing,High Net Worth,N,No,9.0,Engineering & Technical Roles
221,Mara Bloore,Female,37.0,Manufacturing,Mass Customer,N,No,14.0,Finance & Accounting
222,Nev Larive,Male,39.0,Health,Mass Customer,N,No,16.0,Healthcare & Therapy
223,Ossie Meaton,Male,34.0,Unknown,Affluent Customer,N,Yes,14.0,Management & Leadership Roles
224,Morgun Girvan,Male,50.0,Financial Services,Affluent Customer,N,No,17.0,Finance & Accounting
225,Brittaney Pring,Female,40.0,Health,Affluent Customer,N,No,13.0,Healthcare & Therapy
226,Bondie Letty,Male,40.0,Manufacturing,Mass Customer,N,No,20.0,IT & Software Roles
227,Wendall McKeand,Male,44.0,Entertainment,Mass Customer,N,No,18.0,Finance & Accounting
228,Lucia Pickervance,Female,31.0,Manufacturing,High Net Worth,N,No,12.0,IT & Software Roles
229,Vaughn Lambis,Male,51.0,Property,High Net Worth,N,No,19.0,unknown
230,Maegan Scyone,Female,63.0,Property,High Net Worth,N,No,11.0,Finance & Accounting
231,Basile Winsor,Male,22.0,Financial Services,Mass Customer,N,Yes,3.0,Engineering & Technical Roles
232,Zaria Koeppke,Female,30.0,Retail,Mass Customer,N,No,12.0,Education & Teaching
233,Art Barwell,Male,31.0,Property,Mass Customer,N,No,13.0,Science & Research
234,Mead Alpes,Female,48.0,Retail,High Net Worth,N,No,12.0,Engineering & Technical Roles
235,Leona Phateplace,Female,41.0,Health,Mass Customer,N,No,15.0,Marketing & Media
236,Tybalt Gillingwater,Male,63.0,Health,Affluent Customer,N,No,14.0,Science & Research
237,Reginald Dartan,Male,43.0,Property,High Net Worth,N,Yes,11.0,Administrative Roles
238,Max Bilborough,Male,33.0,Unknown,Mass Customer,N,Yes,14.0,IT & Software Roles
239,Wells Pressman,Male,25.0,Health,Affluent Customer,N,No,3.0,Healthcare & Therapy
240,Gavin Fawks,Male,28.0,IT,High Net Worth,N,Yes,15.0,Administrative Roles
241,Quillan Duigan,Male,30.0,Entertainment,Mass Customer,N,No,20.0,Engineering & Technical Roles
242,Taite Droghan,Male,25.0,Property,Affluent Customer,N,No,8.0,Healthcare & Therapy
243,Barbara Croxley,Female,41.0,Manufacturing,High Net Worth,N,Yes,14.0,Education & Teaching
244,Germayne Sperry,Male,43.0,Retail,Affluent Customer,N,No,8.0,unknown
245,Noell Grahlmans,Female,16.0,Financial Services,Affluent Customer,N,No,1.0,Education & Teaching
246,Binny Whight,Female,26.0,Manufacturing,High Net Worth,N,No,9.0,IT & Software Roles
247,Kristal Joysey,Female,34.0,Financial Services,High Net Worth,N,Yes,13.0,Administrative Roles
248,Inger Eskell,Female,39.0,Health,Affluent Customer,N,Yes,12.0,Healthcare & Therapy
249,D'arcy Slay,Male,25.0,IT,High Net Worth,N,No,9.0,Healthcare & Therapy
250,Kristofer  ,Male,29.0,Health,Mass Customer,N,Yes,13.0,Administrative Roles
251,Mala  ,Female,40.0,Financial Services,Affluent Customer,N,Yes,10.0,Management & Leadership Roles
252,Anthea Ruskin,Female,34.0,Property,Mass Customer,N,Yes,13.0,Administrative Roles
253,Amalee Choak,Female,20.0,Health,Mass Customer,N,Yes,1.0,Science & Research
254,Barbie Rubi,Female,56.0,Retail,Mass Customer,N,No,14.0,Administrative Roles
255,Keeley Kruger,Female,64.0,IT,Mass Customer,N,No,5.0,IT & Software Roles
256,Linell Beadle,Female,42.0,Health,High Net Worth,N,Yes,21.0,Management & Leadership Roles
257,Marissa  ,Female,51.0,Manufacturing,Affluent Customer,N,Yes,19.0,Marketing & Media
258,Othella Keher,Female,25.0,Manufacturing,High Net Worth,N,No,9.0,Administrative Roles
259,Venita Dymick,Female,34.0,Health,High Net Worth,N,Yes,3.0,Management & Leadership Roles
260,Farand Marriner,Female,38.0,Health,High Net Worth,N,Yes,22.0,Engineering & Technical Roles
261,Marve Pryn,Male,40.0,Unknown,Mass Customer,N,No,8.0,Engineering & Technical Roles
262,Cordie Petrelli,Male,40.0,Health,High Net Worth,N,Yes,10.0,unknown
263,Tonia Leigh,Female,32.0,Health,High Net Worth,N,No,7.0,Healthcare & Therapy
264,Jedd Spiby,Male,40.0,Health,Mass Customer,N,No,11.0,IT & Software Roles
265,Pennie Stoile,Male,52.0,Retail,High Net Worth,N,Yes,18.0,Marketing & Media
266,Lelia Garatty,Female,28.0,Retail,Affluent Customer,N,No,18.0,Marketing & Media
267,Edgar Buckler,Unknown,40.040122668029646,IT,High Net Worth,N,No,10.65704063378482,unknown
268,Kacie Kidston,Female,39.0,Manufacturing,Mass Customer,N,No,10.0,Engineering & Technical Roles
269,Zacherie Grindley,Male,63.0,Property,Mass Customer,N,Yes,9.0,Healthcare & Therapy
270,Auberta Roundtree,Female,47.0,Unknown,Mass Customer,N,Yes,17.0,Finance & Accounting
271,Doll Burtwell,Female,26.0,Financial Services,Mass Customer,N,No,4.0,Finance & Accounting
272,Arlie Crean,Female,30.0,Retail,Mass Customer,N,Yes,1.0,Engineering & Technical Roles
273,Nevile Abraham,Male,54.0,Unknown,Mass Customer,N,No,19.0,IT & Software Roles
274,Tessi Hesse,Female,41.0,Health,Mass Customer,N,Yes,14.0,Marketing & Media
275,Dud  ,Male,62.0,Health,High Net Worth,N,No,13.0,Management & Leadership Roles
276,Goldi Dwine,Female,27.0,Financial Services,Mass Customer,N,No,22.0,unknown
277,Jehanna Alvarado,Female,61.0,Unknown,High Net Worth,N,No,15.0,Management & Leadership Roles
278,Sydney Georger,Male,20.0,Unknown,Affluent Customer,N,Yes,4.0,Administrative Roles
279,Tamera Hinckes,Female,36.0,Manufacturing,Mass Customer,N,No,11.0,IT & Software Roles
280,Welch MacAllaster,Male,22.0,Unknown,Affluent Customer,N,Yes,5.0,Science & Research
281,Jeanette Sizzey,Female,45.0,Financial Services,High Net Worth,N,Yes,8.0,Management & Leadership Roles
282,Lauren Curcher,Male,28.0,Argiculture,High Net Worth,N,Yes,11.0,Management & Leadership Roles
283,Sari Noye,Female,26.0,Retail,Mass Customer,N,No,2.0,Administrative Roles
284,Seth Moorman,Male,31.0,Financial Services,High Net Worth,N,Yes,9.0,Finance & Accounting
285,Julee Janovsky,Female,40.0,Manufacturing,Mass Customer,N,No,12.0,Marketing & Media
286,Kiley Canaan,Male,28.0,Manufacturing,Affluent Customer,N,Yes,11.0,Administrative Roles
287,Hannie Wodham,Female,32.0,Manufacturing,Affluent Customer,N,No,4.0,Engineering & Technical Roles
288,Ebenezer Seedman,Male,32.0,Manufacturing,High Net Worth,N,No,9.0,unknown
289,Modestia Lithgow,Female,47.0,Health,High Net Worth,N,No,10.0,Healthcare & Therapy
