name,age,gender,past_3_years_bike_related_purchases,categorized_job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,property_valuation,Rank,Value,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Taylor Steuhlmeyer,18.0,Male,62,Administrative Roles,Financial Services,Affluent Customer,Yes,5,4017,Queensland,8,52,1.39453125,0.97,1.2125,1.2125,1.2125,52
Griswold Kelsall,24.0,Male,55,Marketing & Media,Health,High Net Worth,Yes,11,3805,Victoria,7,52,1.39453125,0.48,0.6,0.6,0.6,52
Odessa Mc Andrew,36.0,Female,97,unknown,Property,Mass Customer,No,8,2232,New South Wales,10,54,1.38125,0.95,0.95,1.1875,1.009375,54
Lavena Seekings,22.0,Female,87,Administrative Roles,Retail,Mass Customer,No,16,3166,Victoria,10,54,1.38125,0.77,0.77,0.9625,0.818125,54
Martelle Tuppeny,36.0,Female,52,Administrative Roles,Manufacturing,Mass Customer,No,9,2226,New South Wales,10,54,1.38125,1.03,1.03,1.2875,1.094375,54
Briant Ladley,38.0,Male,75,Administrative Roles,Argiculture,Mass Customer,No,12,2750,New South Wales,8,57,1.375,0.58,0.58,0.58,0.49299999999999994,57
Marylou Kirkup,45.0,Female,51,Management & Leadership Roles,Unknown,Mass Customer,No,14,3196,Victoria,9,57,1.375,0.7,0.7,0.875,0.74375,57
Whittaker  ,51.0,Male,64,Administrative Roles,Unknown,Mass Customer,Yes,8,3156,Victoria,5,57,1.375,1.09,1.3625,1.3625,1.158125,57
Normy Goodinge,46.240081383519836,U,5,Education & Teaching,IT,Mass Customer,No,4,3810,Victoria,5,57,1.375,0.83,0.83,0.83,0.7054999999999999,57
Lorrie Antonelli,34.0,Male,47,Management & Leadership Roles,Financial Services,High Net Worth,Yes,17,2257,New South Wales,7,57,1.375,1.02,1.275,1.275,1.275,57
Jedediah Kedie,46.0,Male,31,IT & Software Roles,Argiculture,Mass Customer,Yes,9,2763,New South Wales,9,62,1.36796875,0.47,0.5874999999999999,0.7343749999999999,0.6242187499999999,62
Kaine Smallcombe,75.0,Male,59,Finance & Accounting,Financial Services,High Net Worth,No,11,2072,New South Wales,10,62,1.36796875,0.78,0.78,0.9750000000000001,0.9750000000000001,62
Loise Iltchev,50.0,Female,70,Engineering & Technical Roles,Manufacturing,High Net Worth,Yes,17,4504,Queensland,6,62,1.36796875,0.4,0.5,0.5,0.5,62
Cristen Maroney,18.0,Female,22,Finance & Accounting,IT,High Net Worth,Yes,7,4214,Queensland,7,65,1.3625,1.0,1.25,1.25,1.25,65
Dorothy Barnardo,34.0,Female,58,Administrative Roles,Retail,High Net Worth,No,12,2168,New South Wales,8,65,1.3625,0.53,0.53,0.53,0.53,65
Rosmunda Duxbarry,21.0,Female,69,Administrative Roles,Property,Affluent Customer,Yes,5,4208,Queensland,11,65,1.3625,0.46,0.5750000000000001,0.7187500000000001,0.7187500000000001,65
Rozamond Riha,33.0,Female,54,Marketing & Media,Manufacturing,Affluent Customer,Yes,16,4078,Queensland,7,68,1.3546875,0.94,1.1749999999999998,1.1749999999999998,1.1749999999999998,68
Gunner Petti,18.0,Male,62,Administrative Roles,Financial Services,High Net Worth,Yes,3,4036,Queensland,5,68,1.3546875,0.59,0.7374999999999999,0.7374999999999999,0.7374999999999999,68
Vivienne Crayden,29.0,Female,82,Education & Teaching,Unknown,High Net Worth,Yes,6,4173,Queensland,7,68,1.3546875,0.87,1.0875,1.359375,1.359375,68
Sherilyn Canero,21.0,Female,11,Healthcare & Therapy,Health,High Net Worth,Yes,13,2484,New South Wales,7,68,1.3546875,0.65,0.8125,0.8125,0.8125,68
Bessie Roscow,23.0,Female,78,Engineering & Technical Roles,Financial Services,Mass Customer,No,9,2121,New South Wales,10,72,1.35,0.79,0.79,0.9875,0.839375,72
Kevina Ferandez,18.0,Female,73,Administrative Roles,Financial Services,High Net Worth,No,15,4068,Queensland,9,72,1.35,0.75,0.75,0.9375,0.9375,72
Yancy Clementet,49.0,Male,5,Engineering & Technical Roles,Unknown,High Net Worth,No,15,2147,New South Wales,9,72,1.35,0.82,0.82,1.025,1.025,72
Mabelle Wellbelove,59.0,Female,76,unknown,Financial Services,Affluent Customer,Yes,19,2219,New South Wales,9,72,1.35,0.86,1.075,1.34375,1.34375,72
Hasheem Groucock,43.0,Male,98,Finance & Accounting,Manufacturing,High Net Worth,Yes,10,2034,New South Wales,12,72,1.35,0.75,0.9375,1.171875,1.171875,72
Tobias Woodhams,56.0,Male,0,Science & Research,Health,Mass Customer,No,17,2759,New South Wales,9,77,1.34140625,0.53,0.53,0.6625000000000001,0.5631250000000001,77
Glennis Flintoff,61.0,Female,36,Healthcare & Therapy,Health,Affluent Customer,Yes,13,3030,Victoria,7,78,1.3375,0.96,1.2,1.2,1.2,78
Chanda Mensler,45.0,Female,15,IT & Software Roles,Manufacturing,Mass Customer,Yes,13,2212,New South Wales,10,78,1.3375,0.98,1.225,1.53125,1.3015625,78
Katheryn Kinner,44.0,Female,15,IT & Software Roles,Entertainment,High Net Worth,No,6,2518,New South Wales,6,78,1.3375,0.56,0.56,0.56,0.56,78
Sumner Carrivick,22.0,Male,53,IT & Software Roles,Manufacturing,Mass Customer,No,15,2097,New South Wales,12,78,1.3375,0.66,0.66,0.8250000000000001,0.70125,78
Valerie Pickover,52.0,Female,34,Marketing & Media,Financial Services,Mass Customer,No,9,2756,New South Wales,8,78,1.3375,0.5,0.5,0.5,0.425,78
Esther Rooson,36.0,Female,14,unknown,Financial Services,Mass Customer,No,5,2046,New South Wales,9,78,1.3375,0.59,0.59,0.7374999999999999,0.626875,78
Gardie Crellim,42.0,Male,58,Science & Research,Manufacturing,High Net Worth,No,8,3161,Victoria,12,84,1.328125,1.02,1.02,1.275,1.275,84
Sean O'Loughlin,56.0,Male,48,IT & Software Roles,Manufacturing,High Net Worth,Yes,16,2576,New South Wales,10,85,1.325,0.67,0.8375,1.046875,1.046875,85
Pietra Buckleigh,68.0,Female,9,Engineering & Technical Roles,Unknown,High Net Worth,No,13,2024,New South Wales,10,85,1.325,1.07,1.07,1.3375000000000001,1.3375000000000001,85
Marysa Rouchy,18.0,Female,8,Administrative Roles,Entertainment,Affluent Customer,No,5,2026,New South Wales,9,85,1.325,0.78,0.78,0.9750000000000001,0.9750000000000001,85
Kahaleel  ,75.0,Male,5,Engineering & Technical Roles,Unknown,High Net Worth,No,13,2035,New South Wales,12,88,1.31484375,0.69,0.69,0.8624999999999999,0.8624999999999999,88
Ossie Midden,67.0,Male,49,Administrative Roles,Manufacturing,Mass Customer,Yes,14,2479,New South Wales,9,89,1.3125,0.91,1.1375,1.421875,1.20859375,89
Sid Carlone,46.0,Male,24,Engineering & Technical Roles,Health,Affluent Customer,No,16,4670,Queensland,2,89,1.3125,0.41,0.41,0.41,0.41,89
Ludovico Juster,25.0,Male,93,Science & Research,Unknown,Affluent Customer,No,15,2125,New South Wales,10,89,1.3125,0.73,0.73,0.9125,0.9125,89
Patricia Everix,39.0,Female,34,Management & Leadership Roles,Health,Mass Customer,No,19,2263,New South Wales,7,89,1.3125,0.86,0.86,0.86,0.731,89
Andromache Bonafacino,40.0,Female,84,unknown,Retail,Mass Customer,No,11,2015,New South Wales,9,89,1.3125,0.6,0.6,0.75,0.6375,89
Levy Abramamov,65.0,Male,94,Education & Teaching,Unknown,Affluent Customer,Yes,14,4037,Queensland,8,89,1.3125,0.88,1.1,1.375,1.375,89
Nobe McAughtry,39.0,Male,25,unknown,Unknown,Mass Customer,No,12,4510,Queensland,5,89,1.3125,0.53,0.53,0.53,0.4505,89
Jehu Prestedge,18.0,Male,91,unknown,Manufacturing,High Net Worth,Yes,8,2138,New South Wales,12,96,1.3,0.4,0.5,0.625,0.625,96
Symon Mawne,74.0,Male,18,Administrative Roles,Property,Mass Customer,Yes,15,3350,Victoria,4,96,1.3,0.41,0.5125,0.5125,0.43562499999999993,96
Karlik Penchen,23.0,Male,60,Healthcare & Therapy,Retail,Mass Customer,No,11,4017,Queensland,6,96,1.3,0.73,0.73,0.73,0.6204999999999999,96
Bengt Bilson,45.0,Male,26,Engineering & Technical Roles,Manufacturing,High Net Worth,No,11,2232,New South Wales,10,99,1.296875,0.89,0.89,1.1125,1.1125,99
Evangelin Boc,17.0,Female,30,Engineering & Technical Roles,Manufacturing,High Net Worth,Yes,14,3173,Victoria,8,99,1.296875,1.07,1.3375000000000001,1.3375000000000001,1.3375000000000001,99
Hanny Treven,26.0,Female,84,Education & Teaching,Retail,Mass Customer,No,3,4118,Queensland,4,99,1.296875,0.43,0.43,0.5375,0.456875,99
Gina Mallon,23.0,Female,56,Healthcare & Therapy,Health,Mass Customer,No,12,4670,Queensland,2,102,1.28828125,0.99,0.99,0.99,0.8415,102
Reynold Elman,78.0,Male,19,Administrative Roles,Manufacturing,Mass Customer,No,9,2390,New South Wales,2,102,1.28828125,0.72,0.72,0.72,0.612,102
Flossy Concannon,37.0,Female,64,Administrative Roles,Financial Services,Affluent Customer,No,8,3919,Victoria,2,104,1.2875,0.5,0.5,0.5,0.5,104
Cristen Wiltshire,56.0,Female,59,Management & Leadership Roles,Financial Services,High Net Worth,Yes,15,3047,Victoria,6,104,1.2875,0.66,0.8250000000000001,0.8250000000000001,0.8250000000000001,104
Griffith Escot,71.0,Male,50,Finance & Accounting,IT,Mass Customer,Yes,16,4116,Queensland,3,104,1.2875,1.0,1.25,1.25,1.0625,104
Jamie Jiruca,54.0,Female,21,Administrative Roles,Argiculture,Mass Customer,No,18,2230,New South Wales,9,104,1.2875,0.72,0.72,0.8999999999999999,0.7649999999999999,104
Lyon Brittan,45.0,Male,14,Marketing & Media,Retail,High Net Worth,No,19,3153,Victoria,8,104,1.2875,0.74,0.74,0.74,0.74,104
Aridatha Sephton,56.0,Female,95,Administrative Roles,Unknown,Mass Customer,No,5,2340,New South Wales,1,104,1.2875,0.43,0.43,0.5375,0.456875,104
Michal Bryan,48.0,Female,1,unknown,Manufacturing,Mass Customer,Yes,16,4000,Queensland,8,104,1.2875,0.47,0.5874999999999999,0.5874999999999999,0.4993749999999999,104
Franciska Stigell,49.0,Female,95,Science & Research,Health,Mass Customer,Yes,7,3802,Victoria,7,111,1.28125,0.56,0.7000000000000001,0.8750000000000001,0.74375,111
Jordan Clampe,78.0,Male,37,Science & Research,Financial Services,Mass Customer,Yes,11,4207,Queensland,5,111,1.28125,0.58,0.725,0.725,0.61625,111
David Napoleon,56.0,Male,72,Engineering & Technical Roles,Unknown,High Net Worth,No,14,2223,New South Wales,11,111,1.28125,0.74,0.74,0.925,0.925,111
Meriel Tapp,22.0,Female,0,Management & Leadership Roles,IT,Mass Customer,No,5,3280,Victoria,2,114,1.275,1.04,1.04,1.04,0.884,114
Dolley Starmont,40.0,Female,53,Science & Research,Manufacturing,Affluent Customer,No,18,4129,Queensland,6,114,1.275,1.05,1.05,1.05,1.05,114
Frederik Milan,20.0,Male,45,unknown,Health,Mass Customer,No,5,2546,New South Wales,5,114,1.275,0.77,0.77,0.77,0.6545,114
Rollo Louedey,71.0,Male,64,Administrative Roles,Telecommunications,Affluent Customer,Yes,17,2089,New South Wales,9,114,1.275,0.52,0.65,0.8125,0.8125,114
Jerrine Cosbey,39.0,Female,21,Marketing & Media,Financial Services,High Net Worth,Yes,6,3094,Victoria,9,114,1.275,0.64,0.8,1.0,1.0,114
Roddy Rubinshtein,30.0,Male,37,Healthcare & Therapy,Retail,Mass Customer,Yes,4,4510,Queensland,7,114,1.275,0.68,0.8500000000000001,0.8500000000000001,0.7225,114
Viki Coutts,65.0,Female,2,Engineering & Technical Roles,Property,Mass Customer,Yes,7,2287,New South Wales,4,120,1.2625,0.95,1.1875,1.1875,1.009375,120
Ashby Bispham,36.0,Male,71,IT & Software Roles,Retail,Affluent Customer,No,4,2145,New South Wales,8,120,1.2625,0.68,0.68,0.68,0.68,120
Alexander Broadbent,20.0,Male,57,IT & Software Roles,Unknown,Mass Customer,No,9,2209,New South Wales,10,120,1.2625,0.76,0.76,0.95,0.8075,120
Teddy Lagadu,48.0,Female,86,Engineering & Technical Roles,Unknown,High Net Worth,No,6,2759,New South Wales,8,120,1.2625,0.56,0.56,0.7000000000000001,0.7000000000000001,120
Peria Rantoull,42.0,Female,3,Finance & Accounting,Financial Services,Mass Customer,No,4,4500,Queensland,4,120,1.2625,1.02,1.02,1.02,0.867,120
Ludvig Andren,76.0,Male,44,Administrative Roles,Unknown,High Net Worth,Yes,15,4306,Queensland,5,125,1.26171875,1.03,1.2875,1.2875,1.2875,125
Elsworth Abbitt,61.0,Male,71,unknown,Health,Mass Customer,Yes,6,3500,Victoria,3,125,1.26171875,0.78,0.9750000000000001,0.9750000000000001,0.8287500000000001,125
Rebeca Aggas,64.0,Female,66,Marketing & Media,Health,Affluent Customer,No,21,3818,Victoria,1,127,1.25,1.05,1.05,1.05,1.05,127
Ricki Dobrowski,42.0,Male,13,Engineering & Technical Roles,Manufacturing,Mass Customer,Yes,9,2835,New South Wales,1,127,1.25,0.47,0.5874999999999999,0.5874999999999999,0.4993749999999999,127
Georgetta Lovett,77.0,Female,42,Marketing & Media,Retail,Mass Customer,No,12,4405,Queensland,1,127,1.25,1.0,1.0,1.0,0.85,127
Bambi Cogger,27.0,Female,51,Engineering & Technical Roles,Retail,Affluent Customer,Yes,5,2560,New South Wales,7,127,1.25,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,127
Aurie Rhead,55.0,Female,78,Engineering & Technical Roles,Manufacturing,Affluent Customer,Yes,5,2650,New South Wales,2,127,1.25,0.44,0.55,0.55,0.55,127
Farris Skettles,52.0,Male,38,Administrative Roles,Unknown,Mass Customer,Yes,13,3240,Victoria,7,132,1.2484375,0.42,0.525,0.525,0.44625,132
Sharline Abyss,57.0,Female,11,unknown,Unknown,Mass Customer,Yes,15,4011,Queensland,4,133,1.2375,0.88,1.1,1.1,0.935,133
Nowell Preddy,32.0,Male,29,unknown,Manufacturing,Mass Customer,No,9,2173,New South Wales,9,133,1.2375,1.06,1.06,1.3250000000000002,1.1262500000000002,133
Lacy Drance,39.0,Female,27,Marketing & Media,Manufacturing,Affluent Customer,Yes,14,2750,New South Wales,8,133,1.2375,0.92,1.1500000000000001,1.1500000000000001,1.1500000000000001,133
Padraig Snel,47.0,Male,89,Administrative Roles,Unknown,Mass Customer,No,19,2114,New South Wales,7,133,1.2375,0.56,0.56,0.7000000000000001,0.5950000000000001,133
Malorie Votier,27.0,Female,90,Marketing & Media,Manufacturing,Affluent Customer,No,4,4509,Queensland,5,133,1.2375,0.54,0.54,0.675,0.675,133
Shepperd Ricards,50.0,Male,28,Marketing & Media,Health,Mass Customer,Yes,16,2284,New South Wales,4,133,1.2375,0.95,1.1875,1.1875,1.009375,133
Daryl Pauncefort,38.0,Female,12,Marketing & Media,Financial Services,Mass Customer,Yes,12,2380,New South Wales,3,133,1.2375,0.65,0.8125,0.8125,0.6906249999999999,133
Norina Blakeway,37.0,Female,60,IT & Software Roles,Property,Mass Customer,Yes,3,3081,Victoria,8,133,1.2375,0.79,0.9875,0.9875,0.839375,133
My Chaston,51.0,Male,92,IT & Software Roles,Manufacturing,Affluent Customer,Yes,16,3765,Victoria,9,133,1.2375,1.08,1.35,1.6875,1.6875,133
Isak Bergstram,16.0,Male,14,Healthcare & Therapy,Health,Affluent Customer,Yes,15,2176,New South Wales,9,142,1.23515625,0.68,0.8500000000000001,1.0625,1.0625,142
Grannie Cracker,68.0,Male,28,Management & Leadership Roles,Retail,Mass Customer,Yes,20,4217,Queensland,8,142,1.23515625,1.01,1.2625,1.2625,1.0731249999999999,142
Welby Lourenco,42.0,Male,6,Management & Leadership Roles,Financial Services,High Net Worth,Yes,17,2138,New South Wales,9,144,1.234375,0.55,0.6875,0.859375,0.859375,144
Glenn Casbourne,36.0,Female,4,Marketing & Media,Manufacturing,Mass Customer,No,6,4207,Queensland,1,144,1.234375,0.84,0.84,0.84,0.714,144
Nadiya Balasini,67.0,Female,40,Marketing & Media,Financial Services,Mass Customer,No,15,2164,New South Wales,9,146,1.225,0.7,0.7,0.875,0.74375,146
Tyne Coate,52.0,Female,82,IT & Software Roles,Manufacturing,Mass Customer,No,17,2218,New South Wales,8,146,1.225,0.66,0.66,0.8250000000000001,0.70125,146
Christie Anders,48.0,Male,38,Management & Leadership Roles,Retail,Mass Customer,No,16,2153,New South Wales,10,146,1.225,0.6,0.6,0.75,0.6375,146
Agnella Capener,48.0,Female,58,Education & Teaching,Health,High Net Worth,No,19,3977,Victoria,6,146,1.225,0.76,0.76,0.76,0.76,146
Bernardine Delmonti,46.0,Female,39,unknown,Property,Mass Customer,No,17,2540,New South Wales,8,146,1.225,0.87,0.87,0.87,0.7394999999999999,146
Daisy Spowart,50.0,Female,60,Administrative Roles,Health,Affluent Customer,Yes,4,4570,Queensland,3,146,1.225,1.05,1.3125,1.3125,1.3125,146
Denys Minshall,56.0,Female,30,Science & Research,Manufacturing,Affluent Customer,Yes,14,2324,New South Wales,8,152,1.221875,0.86,1.075,1.075,1.075,152
Archibald Blessed,48.0,Male,61,Management & Leadership Roles,Financial Services,Mass Customer,Yes,18,2016,New South Wales,11,153,1.21875,0.7,0.875,1.09375,0.9296875,153
Feodor Englishby,56.0,Male,54,Administrative Roles,Health,Mass Customer,No,11,3201,Victoria,5,154,1.203125,0.52,0.52,0.52,0.442,154
Skippie Yearsley,61.0,Male,6,Finance & Accounting,Financial Services,Mass Customer,No,9,4350,Queensland,5,155,1.2,0.53,0.53,0.53,0.4505,155
Bill  ,54.0,Female,74,Administrative Roles,Property,Mass Customer,Yes,19,2170,New South Wales,9,155,1.2,1.09,1.3625,1.703125,1.4476562499999999,155
Tessa Friese,41.0,Female,89,Healthcare & Therapy,Financial Services,Mass Customer,No,21,4212,Queensland,9,157,1.1953125,0.42,0.42,0.525,0.44625,157
Roseanne Caruth,60.0,Female,16,IT & Software Roles,Health,Mass Customer,No,7,2763,New South Wales,9,158,1.1875,0.41,0.41,0.5125,0.43562499999999993,158
Tedra Goodbanne,39.0,Female,4,Engineering & Technical Roles,Unknown,Mass Customer,Yes,6,3934,Victoria,9,158,1.1875,0.66,0.8250000000000001,1.03125,0.8765625,158
Roberto Harme,66.0,Male,27,Science & Research,Unknown,High Net Worth,No,10,2564,New South Wales,9,158,1.1875,1.08,1.08,1.35,1.35,158
Nichole Leisman,31.0,Male,37,Science & Research,Property,Affluent Customer,No,4,2068,New South Wales,12,158,1.1875,1.05,1.05,1.3125,1.3125,158
Amil Ennor,22.0,Female,23,Healthcare & Therapy,Health,Mass Customer,Yes,10,3109,Victoria,11,158,1.1875,0.64,0.8,1.0,0.85,158
Shawna Hinrichsen,48.0,Female,60,Administrative Roles,Manufacturing,Affluent Customer,Yes,9,2326,New South Wales,2,163,1.18203125,0.92,1.1500000000000001,1.1500000000000001,1.1500000000000001,163
Fonsie Levane,66.0,Male,96,Marketing & Media,Unknown,High Net Worth,Yes,19,4011,Queensland,3,163,1.18203125,0.87,1.0875,1.359375,1.359375,163
